id,name,nickname,description,code,value,category,subcategory
0,Front handspring,,Handspring fwd,1,20,No Salto,Front Handspring Entry
1,Front handspring 1/2 off,,Handspring fwd on – 1⁄2 turn (180°) off,1.01,24,No Salto,Front Handspring Entry
2,Front handspring 1/1 off,,Handspring fwd on – 1/1 turn (360°) off,1.02,30,No Salto,Front Handspring Entry
3,Front handspring 3/2 off,,Handspring fwd on – 11⁄2 turn (540°) off,1.03,36,No Salto,Front Handspring Entry
4,Front handspring 2/1 off,,Handspring fwd on – 2/1 turn (720°) off,1.04,40,No Salto,Front Handspring Entry
5,Front handspring 5/2 off,,Handspring fwd on – 21⁄2 turn (900°) off,1.05,44,No Salto,Front Handspring Entry
6,Yamashita,,Yamashita,1.1,24,No Salto,Front Handspring Entry
7,Yamashita 1/2,,Yamashita with 1⁄2 turn (180°) off,1.11,28,No Salto,Front Handspring Entry
8,Yamashita 1/1,,Yamashita with 1/1 turn (360°) off,1.12,32,No Salto,Front Handspring Entry
9,Front handspring 1/2 on,,Handspring fwd with 1⁄2 turn (180°) on – repulsion off,1.2,20,No Salto,Front Handspring 1/2 On Entry
10,"Front handspring 1/2 on, 1/2 off",,Handspring fwd with 1⁄2 turn (180°) on – 1⁄2 turn (180°) off (in either direction),1.21,28,No Salto,Front Handspring 1/2 On Entry
11,"Front handspring 1/2 on, 1/1 off",,Handspring fwd with 1⁄2 turn (180°) on – 1/1 turn (360°) off,1.22,30,No Salto,Front Handspring 1/2 On Entry
12,"Front handspring 1/2 on, 3/2 off",,Handspring fwd with 1⁄2 turn (180°) on – 11⁄2 turn (540°) off,1.23,36,No Salto,Front Handspring 1/2 On Entry
13,"Front handspring 1/2 on, 2/1 off",,Handspring fwd with 1⁄2 turn (180°) on – 2/1 turn (720°) off,1.24,40,No Salto,Front Handspring 1/2 On Entry
14,Front handspring 1/1 on,,Handspring fwd with 1/1 turn (360°) on – Handspring fwd off,1.3,36,No Salto,Front Handspring 1/2 On Entry
15,"Front handspring 1/1 on, 1/1 off",,Handspring fwd with 1/1 turn (360°) on – 1/1 turn (360°) off,1.31,40,No Salto,Front Handspring 1/2 On Entry
16,Round-off,,"Round-off, flic-flac on – repulsion off",1.4,24,No Salto,Round-Off Entry
17,Round-off 1/2 on,,"Round-off, flic-flac with 1⁄2 turn (180°) on – Handspring fwd off",1.5,26,No Salto,Round-Off Entry
18,"Round-off 1/2 on, 1/2 off",,"Round-off, flic-flac with 1⁄2 turn (180°) on –1⁄2 turn (180°) off",1.51,30,No Salto,Round-Off Entry
